Act Name,Authority to Approach,Typical Complaints / Requests,Category
Tamil Nadu Industrial Establishments (Conferment of Permanent Status to Workmen) Act,Labour Department; Assistant Commissioner of Labour (ACL); Labour Inspector,Not making workers permanent after 480 days; Denial of benefits; Wrong contract classification,Employment & Service Conditions
"Tamil Nadu Industrial Establishments (National, Festival & Special Holidays) Act",Labour Department; Deputy Commissioner of Labour (DCL),Holiday denial; Not giving festival leave; Non-payment of holiday wages,Employment & Service Conditions
Tamil Nadu Payment of Subsistence Allowance Act,Labour Department; Conciliation Officer,Non-payment of subsistence allowance during suspension; Delay in payment,Wages & Monetary Benefits
Tamil Nadu Catering Establishments Act,Labour Inspector; Commercial Tax / Licensing Authorities,Working hours violation; No weekly off; Unfair conditions for hotel/restaurant employees,Sector-Specific Labour Laws
Tamil Nadu Labour Welfare Fund Act,Labour Welfare Board; Labour Inspector,Non-remittance of LWF; Denial of welfare benefits; Employee welfare violations,Labour Welfare & Social Security
"Tamil Nadu Manual Workers (Regulation of Employment & Conditions of Work) Act, 1982",Tamil Nadu Manual Workers Welfare Board,Non-registration; Denial of welfare benefits; Safety violations for manual workers,Employment & Service Conditions
"Child & Adolescent Labour (Prohibition & Regulation) Act, 1986",District Child Protection Unit; Labour Department; Police,Child labour cases; Hazardous work complaints; Illegal employment of adolescents,Child & Vulnerable Labour
Tamil Nadu Shops & Establishments Act,Labour Inspector; Assistant Commissioner of Labour,Excessive working hours; No weekly holiday; Wage issues; No appointment letter,Sector-Specific Labour Laws
Industrial Employment (Standing Orders) Act – Central Act,Labour Commissioner; Certifying Officer,No standing orders; Violations of certified standing orders; Improper disciplinary actions,Industrial Relations
"Bonded Labour System (Abolition) Act, 1976",District Collector; Vigilance Committee; Police,Bonded labour rescue; Forced labour; Debt-based exploitation,Child & Vulnerable Labour
Motor Transport Workers Act (Central Act),Labour Department; Regional Transport Office (RTO),Working hour issues; Rest period violations; Safety concerns for bus/lorry workers,Sector-Specific Labour Laws
"Contract Labour (Regulation & Abolition) Act, 1970",Labour Department; Licensing Officer; Inspector of Labour,Non-payment to contract workers; No ESI/PF; Illegal contract employment,Employment & Service Conditions
Maternity Benefit Act (Central Act),Labour Department; Inspector of Labour,Denial of maternity leave; Salary during maternity; Job termination during pregnancy,Labour Welfare & Social Security
Trade Unions Act (Central Act),Labour Department; Registrar of Trade Unions,Registration of trade unions; Union recognition issues; Disputes within union,Industrial Relations
"Payment of Gratuity Act, 1972",Controlling Authority (Assistant Commissioner of Labour),Non-payment of gratuity; Delay; Wrong calculation; Employer refusing gratuity,Wages & Monetary Benefits
"Minimum Wages Act, 1948",Labour Inspector; Deputy Commissioner of Labour,Payment below minimum wages; Non-payment of overtime; Category misclassification,Wages & Monetary Benefits
"Plantations Labour Act, 1951",Labour Department; Plantation Inspector,Poor living conditions; No welfare amenities; Safety issues in plantations,Sector-Specific Labour Laws
