Act Name,Authority to Approach,Typical Complaints / Requests
Tamil Nadu Industrial Establishments (Conferment of Permanent Status to Workmen) Act,Labour Department; Assistant Commissioner of Labour (ACL); Labour Inspector,Not making workers permanent after 480 days; Denial of benefits; Wrong contract classification; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Industrial Establishments (National, Festival & Special Holidays) Act",Labour Department; Deputy Commissioner of Labour (DCL),Holiday denial; Not giving festival leave; Non-payment of holiday wages; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Tamil Nadu Payment of Subsistence Allowance Act,Labour Department; Conciliation Officer,Non-payment of subsistence allowance during suspension; Delay in payment; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Tamil Nadu Catering Establishments Act,Labour Inspector; Commercial Tax / Licensing Authorities,Working hours violation; No weekly off; Unfair conditions for hotel/restaurant employees; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Tamil Nadu Labour Welfare Fund Act,Labour Welfare Board; Labour Inspector,Non-remittance of LWF; Denial of welfare benefits; Employee welfare violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Manual Workers (Regulation of Employment & Conditions of Work) Act, 1982",Tamil Nadu Manual Workers Welfare Board,Non-registration; Denial of welfare benefits; Safety violations for manual workers; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Child & Adolescent Labour (Prohibition & Regulation) Act, 1986",District Child Protection Unit; Labour Department; Police,Child labour cases; Hazardous work complaints; Illegal employment of adolescents; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Tamil Nadu Shops & Establishments Act,Labour Inspector; Assistant Commissioner of Labour,Excessive working hours; No weekly holiday; Wage issues; No appointment letter; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Industrial Employment (Standing Orders) Act – Central Act,Labour Commissioner; Certifying Officer,No standing orders; Violations of certified standing orders; Improper disciplinary actions; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Bonded Labour System (Abolition) Act, 1976",District Collector; Vigilance Committee; Police,Bonded labour rescue; Forced labour; Debt-based exploitation; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Motor Transport Workers Act (Central Act),Labour Department; Regional Transport Office (RTO),Working hour issues; Rest period violations; Safety concerns for bus/lorry workers; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Contract Labour (Regulation & Abolition) Act, 1970",Labour Department; Licensing Officer; Inspector of Labour,Non-payment to contract workers; No ESI/PF; Illegal contract employment; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Maternity Benefit Act (Central Act),Labour Department; Inspector of Labour,Denial of maternity leave; Salary during maternity; Job termination during pregnancy; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Trade Unions Act (Central Act),Labour Department; Registrar of Trade Unions,Registration of trade unions; Union recognition issues; Disputes within union; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Payment of Gratuity Act, 1972",Controlling Authority (Assistant Commissioner of Labour),Non-payment of gratuity; Delay; Wrong calculation; Employer refusing gratuity; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Minimum Wages Act, 1948",Labour Inspector; Deputy Commissioner of Labour,Payment below minimum wages; Non-payment of overtime; Category misclassification; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Plantations Labour Act, 1951",Labour Department; Plantation Inspector,Poor living conditions; No welfare amenities; Safety issues in plantations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Beedi & Cigar Workers (Conditions of Employment) Act,Labour Department; Beedi Worker Welfare Board,Exploitation of beedi workers; Low wages; No welfare benefits; Unsafe conditions; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Inter-State Migrant Workmen Act, 1979",Labour Department; Licensing Officer,No registration of migrant workers; Wage theft; Poor accommodation; Exploitation; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Payment of Wages Act (Central Act),Assistant Commissioner of Labour (ACL),Salary delays; Illegal deductions; Unpaid wages; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Building & Other Construction Workers (BOCW) Act,Tamil Nadu Construction Workers Welfare Board; Labour Inspector,Welfare board registration issues; Safety violations; Non-payment of wages; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Employee’s Compensation Act, 1923",Commissioner for Employee’s Compensation,Injury compensation; Death compensation; Employer denying liability; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Industrial Disputes Act, 1947",Labour Commissioner; Conciliation Officer; Labour Court,Illegal termination; Layoffs; Retrenchment; Settlement of industrial disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
